period,candidate,L1,share_smooth,period_start,period_end
2023-03-27/2023-04-02,侯友宜,L1-02,0.0,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,侯友宜,L1-03,0.08163265306122448,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,侯友宜,L1-04,0.0,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,侯友宜,L1-05,0.0,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,侯友宜,L1-06,0.05442176870748299,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,侯友宜,L1-07,0.027210884353741496,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-01,0.01273366489452924,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-02,0.0007288629737609329,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-03,0.21373978162693646,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-04,0.03094571161798052,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-05,0.011337868480725623,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-06,0.16071857314354313,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-07,0.059591455629871,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-01,0.028552280052880293,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-02,0.07434183237924089,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-03,0.2714360202955641,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-04,0.07043317042155285,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-05,0.00745059928733398,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-06,0.3178027014142105,2023-03-27,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-07,0.2299833961492173,2023-03-27,2023-03-27/2023-04-02
2023-04-03/2023-04-09,侯友宜,L1-01,0.04081632653061224,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,侯友宜,L1-02,0.047619047619047616,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,侯友宜,L1-03,0.0,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,侯友宜,L1-04,0.0,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,侯友宜,L1-05,0.0,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,侯友宜,L1-06,0.04081632653061224,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,侯友宜,L1-07,0.11564625850340135,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-01,0.004801920768307323,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-02,0.0,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-03,0.32214653303181734,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-04,0.04464111225885703,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-05,0.0,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-06,0.20981322761662802,2023-04-03,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-07,0.09206659407949225,2023-04-03,2023-04-03/2023-04-09
