doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date
_385ec24eb37e,_385ec24eb37e_u000,"Happy July 4 Independence Day 🇺🇸 Glad to celebrate with American friends the spirits of life, liberty, and the pursuit of happiness.",context,,,[],[],False,,2ce38408de9455cd7ecced05b7bbb1ce,False,01_Hou_X_datasets,2023-07-05 00:08:00
_9bc958ab1e52,_9bc958ab1e52_u000,"Finally, the first trial shipment of FRESH ginseng arrives in Taiwan!",context,,I have fond memories of the trip to Wisconsin and the delicious meal hosted by @wphsu featuring ginseng as main ingredient. Quite an energizing experience!,[],[],False,,5f271d94a0d77b4c580a59cb0be987a8,False,01_Hou_X_datasets,2023-06-17 08:10:00
_9bc958ab1e52,_9bc958ab1e52_u001,I have fond memories of the trip to Wisconsin and the delicious meal hosted by @wphsu featuring ginseng as main ingredient. Quite an energizing experience!,context,"Finally, the first trial shipment of FRESH ginseng arrives in Taiwan!",,[],[],False,,f6170e52ea9be67cecac826d44e1e314,False,01_Hou_X_datasets,2023-06-17 08:10:00
_d5a89734d25f,_d5a89734d25f_u000,So glad to see much progress in Taiwan-Indiana ties since @GovHolcomb visited Taiwan last summer. Academic &amp;,context,,industry cooperation making strides as we enjoy warm Hoosier hospitality.,[],[],False,,0e4900c77794b3075cb8117de5ab398c,False,01_Hou_X_datasets,2023-06-17 02:29:00
_d5a89734d25f,_d5a89734d25f_u001,industry cooperation making strides as we enjoy warm Hoosier hospitality.,context,So glad to see much progress in Taiwan-Indiana ties since @GovHolcomb visited Taiwan last summer. Academic &amp;,,[],[],False,,20419754ecbef001b727f94d385af985,False,01_Hou_X_datasets,2023-06-17 02:29:00
_1d1f1cdd6f6f,_1d1f1cdd6f6f_u000,Pleased to be at Purdue for conversations on technology &amp;,context,,"diplomacy, and to see how Taiwan &amp;",[],[],False,,8f4df781f92a74c39b8f1af9f74f46f1,False,01_Hou_X_datasets,2023-06-16 05:27:00
_1d1f1cdd6f6f,_1d1f1cdd6f6f_u001,"diplomacy, and to see how Taiwan &amp;",context,Pleased to be at Purdue for conversations on technology &amp;,US universities are working together cultivate key talent and future leaders.,[],[],False,,74f33843a95b87f62d2b78bb96363131,False,01_Hou_X_datasets,2023-06-16 05:27:00
_1d1f1cdd6f6f,_1d1f1cdd6f6f_u002,US universities are working together cultivate key talent and future leaders.,context,"diplomacy, and to see how Taiwan &amp;",,[],[],False,,20da00fe23402546d396fbd0cbb98544,False,01_Hou_X_datasets,2023-06-16 05:27:00
_d804c38c643c,_d804c38c643c_u000,¡Inicia la Feria de Alimentos de Taipei!,context,,Te invitamos a que visites y apoyes el stand de Guatemala del 14 al 17 de junio en el salón de exhibiciones de NanGang. #GuatemalaTaiwanAmigos #SelloBlancoEnTaiwan 🇬🇹🇹🇼,[],[],False,,851ed84a921affe39ed94ea6f6afdae1,False,01_Hou_X_datasets,2023-06-15 20:58:00
_d804c38c643c,_d804c38c643c_u001,Te invitamos a que visites y apoyes el stand de Guatemala del 14 al 17 de junio en el salón de exhibiciones de NanGang. #GuatemalaTaiwanAmigos #SelloBlancoEnTaiwan 🇬🇹🇹🇼,context,¡Inicia la Feria de Alimentos de Taipei!,,[],[],False,,651aa904f98b36e0e422db9952c11142,False,01_Hou_X_datasets,2023-06-15 20:58:00
