period,candidate,L1,share_smooth,period_end
2023-05-29/2023-06-04,柯文哲,L1-06,0.3552809333914189,2023-05-29/2023-06-04
2023-05-29/2023-06-04,柯文哲,L1-07,0.11149615182690478,2023-05-29/2023-06-04
2023-05-29/2023-06-04,赖清德,L1-01,0.004851724239479341,2023-05-29/2023-06-04
2023-05-29/2023-06-04,赖清德,L1-03,0.19889938659446463,2023-05-29/2023-06-04
2023-05-29/2023-06-04,赖清德,L1-06,0.33201341142517615,2023-05-29/2023-06-04
2023-05-29/2023-06-04,赖清德,L1-07,0.23276955803966606,2023-05-29/2023-06-04
2023-06-05/2023-06-11,侯友宜,L1-01,0.07142857142857142,2023-06-05/2023-06-11
2023-06-05/2023-06-11,侯友宜,L1-03,0.053336081907510484,2023-06-05/2023-06-11
2023-06-05/2023-06-11,侯友宜,L1-06,0.14740193668765095,2023-06-05/2023-06-11
2023-06-05/2023-06-11,侯友宜,L1-07,0.24158830587402016,2023-06-05/2023-06-11
2023-06-05/2023-06-11,柯文哲,L1-01,0.02365313941668622,2023-06-05/2023-06-11
2023-06-05/2023-06-11,柯文哲,L1-03,0.28601867676463033,2023-06-05/2023-06-11
2023-06-05/2023-06-11,柯文哲,L1-06,0.2926294207786114,2023-06-05/2023-06-11
2023-06-05/2023-06-11,柯文哲,L1-07,0.16161494303647714,2023-06-05/2023-06-11
2023-06-05/2023-06-11,赖清德,L1-01,0.04523367788673911,2023-06-05/2023-06-11
2023-06-05/2023-06-11,赖清德,L1-03,0.17108843537414967,2023-06-05/2023-06-11
2023-06-05/2023-06-11,赖清德,L1-06,0.23396995161701042,2023-06-05/2023-06-11
2023-06-05/2023-06-11,赖清德,L1-07,0.1029814523211882,2023-06-05/2023-06-11
2023-06-12/2023-06-18,侯友宜,L1-01,0.006176154672395274,2023-06-12/2023-06-18
2023-06-12/2023-06-18,侯友宜,L1-03,0.10178621156064767,2023-06-12/2023-06-18
2023-06-12/2023-06-18,侯友宜,L1-06,0.14116612392659653,2023-06-12/2023-06-18
2023-06-12/2023-06-18,侯友宜,L1-07,0.27893571797975664,2023-06-12/2023-06-18
2023-06-12/2023-06-18,柯文哲,L1-01,0.0281444099378882,2023-06-12/2023-06-18
2023-06-12/2023-06-18,柯文哲,L1-03,0.23790321073484338,2023-06-12/2023-06-18
2023-06-12/2023-06-18,柯文哲,L1-06,0.31576899143447495,2023-06-12/2023-06-18
2023-06-12/2023-06-18,柯文哲,L1-07,0.21792848899104442,2023-06-12/2023-06-18
2023-06-12/2023-06-18,赖清德,L1-01,0.033968912240220764,2023-06-12/2023-06-18
2023-06-12/2023-06-18,赖清德,L1-03,0.13910860118695367,2023-06-12/2023-06-18
2023-06-12/2023-06-18,赖清德,L1-06,0.23534381742453703,2023-06-12/2023-06-18
2023-06-12/2023-06-18,赖清德,L1-07,0.17922739792825856,2023-06-12/2023-06-18
2023-06-19/2023-06-25,侯友宜,L1-01,0.02907919148520652,2023-06-19/2023-06-25
2023-06-19/2023-06-25,侯友宜,L1-03,0.12327727171980664,2023-06-19/2023-06-25
2023-06-19/2023-06-25,侯友宜,L1-06,0.2942803679505683,2023-06-19/2023-06-25
2023-06-19/2023-06-25,侯友宜,L1-07,0.287529427561184,2023-06-19/2023-06-25
2023-06-19/2023-06-25,柯文哲,L1-01,0.0559911444740754,2023-06-19/2023-06-25
2023-06-19/2023-06-25,柯文哲,L1-03,0.27277875543718727,2023-06-19/2023-06-25
2023-06-19/2023-06-25,柯文哲,L1-06,0.22311961423902765,2023-06-19/2023-06-25
2023-06-19/2023-06-25,柯文哲,L1-07,0.13426669549258627,2023-06-19/2023-06-25
2023-06-19/2023-06-25,赖清德,L1-01,0.04854305358507039,2023-06-19/2023-06-25
2023-06-19/2023-06-25,赖清德,L1-03,0.2215357974175586,2023-06-19/2023-06-25
2023-06-19/2023-06-25,赖清德,L1-06,0.289001381602577,2023-06-19/2023-06-25
2023-06-19/2023-06-25,赖清德,L1-07,0.16762998413193703,2023-06-19/2023-06-25
2023-06-26/2023-07-02,侯友宜,L1-01,0.021933621933621934,2023-06-26/2023-07-02
2023-06-26/2023-07-02,侯友宜,L1-03,0.07894690343669934,2023-06-26/2023-07-02
2023-06-26/2023-07-02,侯友宜,L1-06,0.38049756612312063,2023-06-26/2023-07-02
2023-06-26/2023-07-02,侯友宜,L1-07,0.20729307171188274,2023-06-26/2023-07-02
2023-06-26/2023-07-02,柯文哲,L1-01,0.10771391277298904,2023-06-26/2023-07-02
